Order Date,Sales
2015-06-09,1706.184
2016-09-17,3083.43
2017-12-05,1951.84
2015-09-08,8159.952
2015-09-08,1740.06
2015-06-01,2001.86
2017-09-11,3347.37
2015-09-19,3059.982
2015-09-19,2519.958
2015-11-04,3991.98
2017-09-01,4355.168
2015-09-21,1799.97
2017-09-08,2396.2656
2015-10-29,2735.952
2016-03-16,6354.95
2018-01-22,2999.95
2018-11-04,7999.98
2017-12-15,1652.94
2015-11-01,1983.968
2018-09-02,1928.78
2018-11-28,2065.32
2018-01-07,3059.982
2015-05-21,2715.93
2016-07-31,2309.65
2017-03-01,4899.93
2015-12-20,2244.48
2018-09-09,1931.958
2015-12-12,3610.848
2018-12-18,1704.56
2015-12-19,1819.86
2016-10-15,2453.43
2017-05-23,1979.928
2017-11-26,3040.0
2018-12-10,1669.6
2016-03-19,3149.93
2016-07-13,1931.04
2018-10-30,1702.12
2016-12-08,1718.4
2015-12-01,2807.84
2018-09-22,4663.736
2017-12-25,2575.944
2018-10-03,1793.98
2017-05-07,3999.95
2017-05-21,2396.4
2015-11-19,4548.81
2015-07-25,8187.65
2018-08-15,1801.632
2016-08-16,1879.96
2018-11-01,2665.62
2018-10-22,11199.968
2018-10-22,2399.6
2018-11-28,1979.89
2015-03-18,22638.48
2016-01-30,1919.976
2018-01-15,1924.16
2018-04-08,2690.97
2018-04-17,2549.985
2018-09-11,2054.272
2016-08-28,2799.96
2015-11-17,2934.33
2016-12-15,2025.36
2016-12-15,1799.994
2018-05-08,3359.952
2015-04-05,4164.05
2018-10-01,1704.89
2018-11-16,1919.976
2016-12-04,1799.75
2018-11-19,2504.74
2018-07-03,2395.2
2018-07-03,1687.8
2017-07-25,2430.08
2018-12-19,1665.62
2015-08-09,2060.744
2017-12-17,2003.52
2017-11-24,1684.752
2017-07-07,2799.96
2018-04-08,2591.56
2015-09-29,1801.632
2016-08-24,3080.0
2015-09-23,9449.95
2015-09-19,2624.985
2018-11-17,10499.97
2018-04-01,4799.984
2017-04-16,9099.93
2018-08-23,4367.896
2018-03-21,1805.88
2018-12-24,2879.952
2017-12-18,1793.98
2018-11-13,2404.704
2018-11-02,2249.91
2018-12-07,1889.99
2016-11-09,2321.9
2018-11-30,1781.682
2015-09-14,2799.96
2017-05-27,3504.9
2016-10-10,1801.632
2017-03-03,3930.072
2017-05-30,2275.5
2017-05-30,1979.7
2018-10-02,2314.116
2017-12-03,1649.95
2018-12-02,2479.96
2018-03-31,2999.95
2015-09-29,2348.82
2016-05-08,2799.944
2015-10-14,1999.96
2017-03-13,4912.59
2016-09-17,4228.704
2016-09-17,2003.92
2018-09-15,2357.488
2016-12-30,2548.56
2017-03-10,4158.912
2018-09-20,2888.127
2018-09-20,2254.41
2017-11-13,2279.96
2016-09-21,1690.04
2018-08-18,2793.528
2015-12-28,1737.18
2018-10-05,5199.96
2017-05-23,8399.976
2017-12-02,2079.4
2018-01-16,5443.96
2017-12-23,1999.96
2015-11-17,2152.776
2015-11-17,4007.84
2018-01-13,4164.05
2015-12-14,6999.96
2017-12-25,1747.25
2015-06-17,3266.376
2017-10-02,17499.95
2017-08-21,2887.056
2017-09-05,1652.94
2016-12-01,2003.92
2016-12-01,1913.4
2016-05-31,2567.84
2018-07-24,2399.96
2017-05-05,1685.88
2018-11-26,1879.96
2018-03-26,2399.96
2018-08-17,4416.174
2016-02-21,2541.98
2015-03-18,1856.19
2015-01-06,2573.82
2016-12-19,2249.91
2018-07-14,1889.946
2016-11-23,2625.12
2015-03-21,3499.93
2017-10-04,5399.91
2015-12-31,1687.8
2016-04-28,3812.97
2018-08-12,1779.9
2017-11-25,4499.985
2017-10-21,4535.976
2016-09-27,1871.88
2018-06-17,3404.5
2018-08-17,2518.29
2018-11-03,1673.184
2017-03-10,3357.6
2016-05-22,2973.32
2018-03-23,13999.96
2018-11-06,2036.86
2016-11-08,4643.8
2018-05-01,2803.92
2018-01-30,2003.168
2017-12-25,2563.056
2018-07-26,1649.95
2018-01-26,2939.93
2018-10-12,2154.9
2015-04-28,1679.96
2017-11-11,2678.94
2017-02-02,8749.95
2017-12-01,2104.55
2018-06-15,2239.936
2016-06-16,3050.376
2015-05-08,1799.97
2018-10-13,5083.96
2017-10-17,1927.59
2016-12-01,2676.672
2016-12-24,4899.93
2018-10-16,1875.258
2015-09-02,1793.98
2017-12-17,9892.74
2016-11-02,2621.322
2017-06-24,4476.8
2018-08-21,4305.552
2015-06-08,1676.88
2016-01-27,2803.92
2015-09-12,3785.292
2018-01-03,2022.272
2017-10-14,1649.75
2015-11-11,2033.584
2016-01-28,4297.644
2017-11-26,3406.664
2017-06-06,3023.928
2016-11-08,4404.9
2015-07-26,2177.584
